line,name,colour,stripe,stroke
1,Bakerloo Line,#a45a2a,,0
2,Central Line,#da291c,,0
3,Circle Line,#ffcd00,,0
4,District Line,#007a33,,0
5,District Line (Limited Service),#007a33,#ffffff,2
6,Hammersmith & City Line,#e89cae,,0
7,Jubilee Line,#7c878e,,0
8,Metropolitan Line,#840b55,,0
9,Northern Line,#000000,,0
10,Piccadilly Line,#10069f,,0
11,Victoria Line,#00a3e0,,0
12,Waterloo & City Line,#6eceb2,,0
13,Docklands Light Railway,#00b2a9,#ffffff,0
14,London Overground,#e87722,#ffffff,0
15,Elizabeth Line,#6950a1,#ffffff,0
16,London Trams,#78be20,#ffffff,0
17,Emirates Air Line,#c8102e,#ffffff,0
18,Walking Links,,#000000,1
20,Interconnected Stations,#000000,#ffffff,-1
21,Liberty (London Overground),#5D6061,#ffffff,0
22,Lioness (London Overground),#FAA61A,#ffffff,0
23,Mildmay (London Overground),#0077AD,#ffffff,0
24,Suffragette (London Overground),#5BBD72,#ffffff,0
25,Weaver (London Overground),#823A62,#ffffff,0
26,Windrush (London Overground),#ED1B00,#ffffff,0
